node,spreading ability
30,0.2778636683063949
1412,0.000140548137737175
3352,0.2802529866479269
5254,0.27842586085734367
5543,0.2742094167252284
7478,0.000140548137737175
3,0.2794096978215039
28,0.28123682361208713
39,0.27842586085734367
54,0.284328882642305
108,0.000140548137737175
152,0.28011243851018974
178,0.28109627547434995
182,0.2823612087139845
214,0.000140548137737175
271,0.000140548137737175
286,0.000140548137737175
300,0.000140548137737175
348,0.2827828531271961
349,0.000140548137737175
371,0.2802529866479269
567,0.000140548137737175
581,0.000140548137737175
584,0.28011243851018974
586,0.276317638791286
590,0.27997189037245257
604,0.2792691496837667
611,0.000140548137737175
8283,0.000140548137737175
25,0.28165846802529865
6,0.2803935347856641
8,0.27955024595924105
19,0.276317638791286
23,0.2862965565706254
29,0.2808151791988756
33,0.28460997891777934
35,0.2680252986647927
50,0.000140548137737175
55,0.28165846802529865
75,0.2782853127196065
80,0.2833450456781448
86,0.27772312016865774
94,0.2774420238931834
127,0.28067463106113844
154,0.2862965565706254
192,0.27842586085734367
224,0.28165846802529865
226,0.27842586085734367
246,0.000140548137737175
252,0.000140548137737175
255,0.27716092761770905
257,0.28165846802529865
261,0.00042164441321152494
273,0.00028109627547435
280,0.2796907940969782
282,0.27898805340829236
299,0.000140548137737175
302,0.27898805340829236
306,0.2817990161630358
308,0.2813773717498243
310,0.2803935347856641
322,0.000140548137737175
325,0.2837666900913563
339,0.28601546029515107
356,0.28446943078004217
358,0.000140548137737175
363,0.000140548137737175
370,0.000140548137737175
373,0.000140548137737175
377,0.000140548137737175
379,0.000140548137737175
407,0.2798313422347154
415,0.000140548137737175
422,0.000140548137737175
428,0.000140548137737175
439,0.27842586085734367
488,0.000140548137737175
514,0.000140548137737175
545,0.00028109627547435
549,0.000140548137737175
560,0.2798313422347154
592,0.00042164441321152494
600,0.284328882642305
645,0.27856640899508084
650,0.281939564300773
659,0.27842586085734367
664,0.27716092761770905
667,0.2788475052705552
673,0.000140548137737175
675,0.000140548137737175
696,0.2796907940969782
706,0.27561489810260015
723,0.000140548137737175
739,0.000140548137737175
756,0.000140548137737175
857,0.000140548137737175
864,0.000140548137737175
893,0.000140548137737175
959,0.2782853127196065
994,0.28123682361208713
1131,0.000140548137737175
3755,0.000140548137737175
8282,0.000140548137737175
8284,0.000140548137737175
4,0.2815179198875615
10,0.2809557273366128
